MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Gold/Min;Kills;Deaths;Assists;KP%;Damage/Min;topLanePresence;midLanePresence;botLanePresence;jungleAllyEntryPresence;jungleEnemyEntryPresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
110853167109182164|game2;DK Canyon;92;427;338.39896507591106;322.7329312250942;0;0;2;1.0;94.32772726761115;0.0;0.02636916835699797;0.06964164976335362;0.03955375253549696;0.005747126436781609;0.23225152129817445;0.18661257606490872;0.0016903313049357674;0.0;0.06017579445571332;0.10344827586206896
110853167109182164|game2;KT Cuzz;92;427;332.58737187318866;295.75955842550223;0;0;0;0.0;22.70619731990084;0.0;0.026031102096010818;0.011156186612576065;0.05138607167004733;0.027045300878972278;0.22684246112238;0.22346179851250844;0.0;0.03144016227180527;0.23867478025693037;0.0074374577417173765
110853020184706735|game1;NRG Contractz;1030;858;372.79575003244236;352.32357664083025;1;2;1;0.5;116.37377364666922;0.056434962147281484;0.00516173434273916;0.0;0.023055746730901584;0.04817618719889883;0.21025464556090848;0.22505161734342738;0.03234686854783207;0.0;0.05299380591878871;0.10908465244322092
110853020184706735|game1;WBG Weiwei;1030;858;307.71445807762615;298.1102285852649;0;1;1;0.5;70.76369516256852;0.024088093599449415;0.01686166551961459;0.09222298692360634;0.01961459050240881;0.008602890571231933;0.2398485891259463;0.21472814865794906;0.0;0.04852030282174811;0.10564349621472816;0.03922918100481762
110853020184706735|game3;NRG Contractz;407;-601;337.9774587568759;284.98491756887006;0;1;1;0.5;91.87739639825895;0.01759628154050465;0.0348605577689243;0.049136786188579015;0.0647410358565737;0.012284196547144754;0.18160690571049137;0.3207171314741036;0.008300132802124834;0.03718459495351926;0.03718459495351926;0.04946879150066401
110853020184706735|game3;WBG Weiwei;407;-601;312.2707075488683;322.945009647525;1;1;2;0.6;202.55176902821768;0.013944223107569721;0.04249667994687915;0.12217795484727756;0.017264276228419653;0.019588313413014608;0.19123505976095617;0.21713147410358566;0.0;0.055776892430278883;0.06573705179282868;0.03253652058432935
110853020184706729|game4;BLG XUN;-1419;-387;313.23635476718295;339.07093212144343;2;0;1;0.75;97.6775501372024;0.01737704918032787;0.03016393442622951;0.060655737704918035;0.043278688524590166;0.020327868852459016;0.1298360655737705;0.20655737704918034;0.0;0.05672131147540983;0.09868852459016393;0.036065573770491806
110853020184706729|game4;GEN Peanut;-1419;-387;402.8678101845317;363.5158745079931;1;0;1;1.0;116.20713698038018;0.0;0.04918032786885246;0.05377049180327869;0.03180327868852459;0.017704918032786884;0.21508196721311476;0.16459016393442624;0.08557377049180327;0.013442622950819673;0.0760655737704918;0.03344262295081967
110853020184706729|game5;BLG XUN;-157;-464;357.52046858467264;327.7586904469242;0;0;1;1.0;81.36942581304557;0.03717069649945868;0.007939372067845544;0.005052327679538073;0.025622518946228797;0.009743774810537712;0.2201371346084446;0.25261638397690367;0.012630819198845183;0.0054132082280765065;0.0267051605918441;0.051245037892457594
110853020184706729|game5;GEN Peanut;-157;-464;367.4410612972555;357.07814916436644;0;0;2;1.0;90.31627404286716;0.06531937928545652;0.0;0.009382894261999277;0.015878744135691087;0.02742692168892097;0.2692168892096716;0.20028870443883073;0.0779501984843017;0.0;0.021291952363767592;0.02273547455792133
110853167109182156|game1;NRG Contractz;1172;1077;421.36833824834997;390.21905188511164;2;0;1;0.6;243.0709256015462;0.03646209386281588;0.06064981949458484;0.03285198555956679;0.034657039711191336;0.013357400722021661;0.1703971119133574;0.18231046931407943;0.0184115523465704;0.035018050541516244;0.07075812274368232;0.0927797833935018
110853167109182156|game1;G2 Yike;1172;1077;347.3177021069395;322.17081372444693;0;0;2;1.0;127.13060258279181;0.04187725631768953;0.0815884476534296;0.037184115523465705;0.025631768953068592;0.022382671480144403;0.2505415162454874;0.21191335740072204;0.0;0.06101083032490975;0.033574007220216605;0.019855595667870037
110853167109182154|game1;T1 Oner;-596;16;309.30945857163175;302.74050131383115;0;0;3;0.6;68.56802505428615;0.0;0.03031259867382381;0.09125355225765709;0.06915061572466057;0.0;0.21281970318913798;0.2065045784654247;0.0;0.0025260498894853173;0.057467634985790966;0.09977897063467003
110853167109182154|game1;BLG XUN;-596;16;346.95463670287387;301.72989250493873;0;1;1;1.0;302.41475515173636;0.0;0.07293969055888853;0.08525418377012946;0.04420587306599305;0.00884117461319861;0.2642879696874013;0.18724344805809914;0.0;0.008209662140827282;0.055888853804862644;0.03315440479949479
110853167109182166|game1;G2 Yike;-121;-142;339.2575224281119;314.1811425353618;0;0;0;0.0;212.75249133261133;0.0;0.08644189383070301;0.02690100430416069;0.0351506456241033;0.02295552367288379;0.1212338593974175;0.3030846484935438;0.007890961262553802;0.0;0.0351506456241033;0.12338593974175036
